Student_Name,Student_mail_id,Program,Cohort,Term,Placed_Not_Placed,CGPA,AI_Tutor_Usage,AI_Mentor_Usage,AI_TKT_Exam_Usage,JPT_Usage,Yoodli_Usage
Student_1_Jan-22,student1@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,2.77,Medium,Medium,Medium,Medium,High
Student_2_Jan-22,student2@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.36,None,Low,Low,Medium,Medium
Student_3_Jan-22,student3@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.97,Medium,Low,None,Medium,Low
Student_4_Jan-22,student4@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,3.11,None,Medium,None,Low,Medium
Student_5_Jan-22,student5@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.47,Low,None,Low,Medium,None
Student_6_Jan-22,student6@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.6,High,Medium,High,Low,High
Student_7_Jan-22,student7@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.17,High,Low,High,Medium,Medium
Student_8_Jan-22,student8@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,2.53,None,High,None,Medium,None
Student_9_Jan-22,student9@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.86,Low,None,Medium,None,Low
Student_10_Jan-22,student10@jan-22.spjain.edu,MGB,Jan-22,Term 4,Not Placed,2.52,Low,Low,Low,None,High
Student_11_Jan-22,student11@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.61,None,None,Low,Medium,None
Student_12_Jan-22,student12@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.75,High,Medium,Medium,Low,None
Student_13_Jan-22,student13@jan-22.spjain.edu,MGB,Jan-22,Term 3,Placed,3.9,None,High,High,None,Low
Student_14_Jan-22,student14@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.33,Medium,Medium,Medium,None,Low
Student_15_Jan-22,student15@jan-22.spjain.edu,MGB,Jan-22,Term 4,Placed,3.73,Low,Low,None,None,Medium
Student_16_Jan-22,student16@jan-22.spjain.edu,MGB,Jan-22,Term 1,Placed,2.73,Low,None,High,Low,None
Student_17_Jan-22,student17@jan-22.spjain.edu,MGB,Jan-22,Term 2,Not Placed,3.86,Medium,High,High,Low,None
Student_18_Jan-22,student18@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,3.37,None,Low,None,High,Low
Student_19_Jan-22,student19@jan-22.spjain.edu,MGB,Jan-22,Term 1,Not Placed,2.74,High,Medium,Low,None,Medium
