Campus,Course_Name,Cohort,Unit_Name,Faculty,Email_ID,Unit_Commencement_date,No_of_Session_IDs_created,Total_Students_Participated,Batch_size,Student_adoption_rate,End_Date,No_of_students_who_filled_form,Size_of_batch_when_feedback_taken,Faculty_Avg_Score,AI_Tutor_quality_score,AI_Tutor_impact_score,Avg_Rating_for_AI_Tutor_Tool,Implemented_AI_Tutor,Features_found_useful,Used_Document_Creator,Quizzes_conducted,Quizzes_used_for_grading,Quiz_outcome,Faculty_Feedback
SG,MGB,Jan-22,Unit 1,Prof_Smith,prof_smith@spjain.edu,24-May-2022,17,94,108,88.4117803541003,22-Dec-2022,94,85,4.267640266183752,3.8349609474299617,3.8030647638477517,3.8257252507470354,Y,Quiz Generator,N,3,3,Satisfactory,Very Positive
SG,MGB,Jan-22,Unit 2,Prof_Johnson,prof_brown@spjain.edu,11-May-2022,14,93,148,78.41486362781566,3-Jul-2022,66,102,4.601742676251698,4.46409863450358,4.5878411006018185,4.521624501371345,Y,All Features,Y,8,2,Satisfactory,Positive
SG,MGB,Jan-22,Unit 3,Prof_Smith,prof_smith@spjain.edu,22-Apr-2022,19,85,114,91.66209166888174,13-May-2022,89,120,4.584343554632975,3.9789195068716934,4.090797770250274,4.438245244128771,Y,Quiz Generator,Y,2,3,Needs Improvement,Neutral
SG,MGB,Jan-22,Unit 4,Prof_Jones,prof_johnson@spjain.edu,22-Jun-2022,11,94,102,90.12614501928036,13-May-2022,64,93,4.687076961441209,4.423898056626353,4.489705697790874,3.797677161675797,N,All Features,N,2,2,Good,Positive
SG,MGB,Jan-22,Unit 5,Prof_Jones,prof_jones@spjain.edu,9-Dec-2022,23,117,125,79.04991109284028,5-Sep-2022,91,85,4.482516804793859,4.7472132006333325,3.8681254512830874,3.7239748024114303,N,Document Creator,N,6,4,Needs Improvement,Neutral
SG,MGB,May-22,Unit 1,Prof_Jones,prof_smith@spjain.edu,22-Dec-2022,13,114,148,76.67062974881357,21-Jun-2022,67,98,4.0651948258698365,4.299096076962127,4.749197520273188,4.726194116529472,N,Quiz Generator,Y,4,5,Good,Positive
SG,MGB,May-22,Unit 2,Prof_Williams,prof_johnson@spjain.edu,18-Sep-2022,10,118,120,82.2151427007237,4-Jun-2022,79,95,3.575302716442444,4.765810559124445,4.741644389827793,3.6199148328950304,N,Document Creator,Y,2,5,Needs Improvement,Positive
SG,MGB,May-22,Unit 3,Prof_Williams,prof_jones@spjain.edu,28-Oct-2022,23,93,134,88.88162991589513,23-Apr-2022,79,105,4.793694163659163,4.514865863403399,4.181910092305954,4.224606177449827,Y,Quiz Generator,Y,1,2,Excellent,Positive
SG,MGB,May-22,Unit 4,Prof_Jones,prof_johnson@spjain.edu,1-Feb-2022,11,94,104,92.6355003251532,28-Jun-2022,64,112,3.809406024679694,4.535875556125909,3.9356604881074824,3.685236588215035,N,Quiz Generator,N,6,1,Excellent,Very Positive
SG,MGB,May-22,Unit 5,Prof_Brown,prof_williams@spjain.edu,14-Jul-2022,24,83,143,86.33638720664479,21-Feb-2022,63,105,4.446677664973537,4.680651761947869,3.8201959354692847,3.768226100998316,N,Quiz Generator,N,2,2,Needs Improvement,Positive
